"","Airport.Name","Total Flights","Delayed Flights","Delayed Percentage"
"6921","Rugao Air Base",10,3,30
"6922","Rughenda Airfield",7,0,0
"6923","Ruhengeri Airport",10,2,20
"6924","Rukum Chaurjahari Airport",10,4,40
"6925","Rum Cay Airport",16,5,31.25
"6926","Rumbek Airport",16,6,37.5
"6927","Rumginae Airport",9,1,11.1111111111111
"6928","Rumjatar Airport",9,2,22.2222222222222
"6929","Rupsi India Airport",12,5,41.6666666666667
"6930","Rurenabaque Airport",5,1,20
"6931","Rurutu Airport",15,3,20
"6932","Ruse Airport",12,8,66.6666666666667
"6933","Russell Municipal Airport",14,3,21.4285714285714
"6934","Russian Mission Airport",6,2,33.3333333333333
"6935","Rustaq Airport",18,9,50
"6936","Ruston Regional Airport",14,5,35.7142857142857
"6937","Ruti Airport",13,4,30.7692307692308
"6938","Rutland - Southern Vermont Regional Airport",7,3,42.8571428571429
"6939","Rutland Plains Airport",10,3,30
"6940","Ryan's Creek Aerodrome",12,4,33.3333333333333
"6941","Rzeszów-Jasionka Airport",10,4,40
"6942","Rzhevka Airport",9,3,33.3333333333333
"6943","Røros Airport",13,5,38.4615384615385
"6944","Rørvik Airport, Ryum",6,2,33.3333333333333
"6945","Røst Airport",12,3,25
"6946","Sa Pran Nak Airport",7,3,42.8571428571429
"6947","Saarbrücken Airport",12,1,8.33333333333333
"6948","Saarloq Heliport",9,3,33.3333333333333
"6949","Sabadell Airport",9,4,44.4444444444444
"6950","Sabah Airport",11,4,36.3636363636364
"6951","Sabetta International Airport",14,6,42.8571428571429
"6952","Sabha Airport",11,2,18.1818181818182
"6953","Sabi Sabi Airport",14,5,35.7142857142857
"6954","Sabiha Gökçen International Airport",12,4,33.3333333333333
"6955","Sable Island Landing Strip",13,3,23.0769230769231
"6956","Sabu-Tardanu Airport",13,4,30.7692307692308
"6957","Sabzevar National Airport",14,5,35.7142857142857
"6958","Sacheon Air Base/Airport",11,4,36.3636363636364
"6959","Sachigo Lake Airport",10,3,30
"6960","Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport",11,4,36.3636363636364
"6961","Sacramento Airport",12,3,25
"6962","Sacramento Executive Airport",7,4,57.1428571428571
"6963","Sacramento International Airport",10,4,40
"6964","Sacramento Mather Airport",10,2,20
"6965","Sadah Airport",9,1,11.1111111111111
"6966","Sadiq Abubakar III International Airport",13,7,53.8461538461538
"6967","Sado Airport",16,8,50
"6968","Saenz Peña Airport",16,2,12.5
"6969","Saertu Airport",7,4,57.1428571428571
"6970","Safford Regional Airport",5,2,40
"6971","Safi Airport",15,1,6.66666666666667
"6972","Safia Airport",6,2,33.3333333333333
"6973","Saga Airport",14,4,28.5714285714286
"6974","Saginaw Seaplane Base",11,5,45.4545454545455
"6975","Saglek Airport",9,3,33.3333333333333
"6976","Sahabat [Sahabat 16] Airport",8,3,37.5
"6977","Sahand Airport",14,3,21.4285714285714
"6978","Sahiwal Airport",13,4,30.7692307692308
"6979","Saibai Island Airport",14,8,57.1428571428571
"6980","Saidor Airport",7,1,14.2857142857143
"6981","Saidpur Airport",13,4,30.7692307692308
"6982","Saidu Sharif Airport",10,3,30
"6983","Saint John Airport",9,4,44.4444444444444
"6984","Saint Louis Airport",13,4,30.7692307692308
"6985","Saint-Brieuc-Armor Airport",15,5,33.3333333333333
"6986","Saint-Georges-de-l'Oyapock Airport",6,4,66.6666666666667
"6987","Saint-Laurent-du-Maroni Airport",20,8,40
"6988","Saint-Nazaire-Montoir Airport",10,3,30
"6989","Saint-Yan Airport",7,2,28.5714285714286
"6990","Saint-Étienne-Bouthéon Airport",11,4,36.3636363636364
"6991","Sainte Marie Airport",10,4,40
"6992","Saipan International Airport",13,3,23.0769230769231
"6993","Sakkyryr Airport",9,3,33.3333333333333
"6994","Sakon Nakhon Airport",14,6,42.8571428571429
"6995","Salak Airport",13,7,53.8461538461538
"6996","Salalah Airport",11,3,27.2727272727273
"6997","Salamanca Airport",9,1,11.1111111111111
"6998","Salamo Airport",5,1,20
"6999","Salekhard Airport",14,1,7.14285714285714
"7000","Salem Airport",8,2,25
"7001","Salem Leckrone Airport",9,3,33.3333333333333
"7002","Salem Municipal Airport/McNary Field",6,2,33.3333333333333
"7003","Salerno Costa d'Amalfi Airport",18,8,44.4444444444444
"7004","Salerno Landing Zone Airport",7,4,57.1428571428571
"7005","Salgado Filho Airport",14,3,21.4285714285714
"7006","Salima Airport",7,3,42.8571428571429
"7007","Salina Cruz Naval Air Station",16,7,43.75
"7008","Salina Gunnison Airport",10,4,40
"7009","Salina Municipal Airport",6,3,50
"7010","Salinas Municipal Airport",7,0,0
"7011","Salisbury Ocean City Wicomico Regional Airport",7,3,42.8571428571429
"7012","Salluit Airport",8,4,50
"7013","Salt Cay Airport",8,1,12.5
"7014","Salt Lake City International Airport",13,1,7.69230769230769
"7015","Salton Sea Airport",14,3,21.4285714285714
"7016","Salzburg Airport",16,5,31.25
"7017","Sam Mbakwe International Airport",8,2,25
"7018","Sam Neua Airport",10,3,30
"7019","Sam Ratulangi Airport",10,3,30
"7020","Samana El Portillo Airport",17,8,47.0588235294118
"7021","Samangoky Airport",15,8,53.3333333333333
"7022","Samaná El Catey International Airport",10,3,30
"7023","Samarkand Airport",8,4,50
"7024","Sambailo Airport",14,4,28.5714285714286
"7025","Sambava Airport",7,1,14.2857142857143
"7026","Sambu Airport",13,2,15.3846153846154
"7027","Samedan Airport",12,3,25
"7028","Samjiyŏn Airport",8,3,37.5
"7029","Samos Airport",9,4,44.4444444444444
"7030","Sampit(Hasan) Airport",19,5,26.3157894736842
"7031","Sampson County Airport",17,8,47.0588235294118
"7032","Samsun Çarşamba Airport",12,3,25
"7033","Samuels Field",8,2,25
"7034","Samui Airport",12,1,8.33333333333333
"7035","San Andros Airport",7,5,71.4285714285714
"7036","San Angelo Regional Mathis Field",12,3,25
"7037","San Antonio Copalar Airport",13,6,46.1538461538462
"7038","San Antonio Del Tachira Airport",10,5,50
"7039","San Antonio International Airport",10,2,20
"7040","San Bernardino International Airport",10,4,40
"7041","San Blas Airport",12,6,50
"7042","San Carlos",9,5,55.5555555555556
"7043","San Carlos Airport",9,4,44.4444444444444
"7044","San Carlos Apache Airport",9,5,55.5555555555556
"7045","San Carlos De Bariloche Airport",9,3,33.3333333333333
"7046","San Cristobal de las Casas Airport",5,3,60
"7047","San Cristóbal Airport",11,5,45.4545454545455
"7048","San Diego International Airport",8,3,37.5
"7049","San Domino Island Heliport",11,2,18.1818181818182
"7050","San Felipe International Airport",12,5,41.6666666666667
"7051","San Fernando Airport",31,9,29.0322580645161
"7052","San Fernando De Apure Airport",8,2,25
"7053","San Francisco International Airport",11,3,27.2727272727273
"7054","San Gabriel Valley Airport",8,0,0
"7055","San Ignacio Airport",11,4,36.3636363636364
"7056","San Ignacio de Moxos Airport",10,4,40
"7057","San Javier Airport",18,4,22.2222222222222
"7058","San Joaquín Airport",5,1,20
"7059","San Jose Airport",8,2,25
"7060","San José Airport",16,6,37.5
"7061","San José De Chiquitos Airport",11,4,36.3636363636364
"7062","San José Island Airport",10,5,50
"7063","San Juan /Uganik/ Seaplane Base",10,3,30
"7064","San Juan Airport",12,5,41.6666666666667
"7065","San Juan Aposento Airport",14,6,42.8571428571429
"7066","San Juan De Uraba Airport",12,5,41.6666666666667
"7067","San Juan Del César Airport",15,5,33.3333333333333
"7068","San Juan de Marcona Airport",10,2,20
"7069","San Julian Air Base",11,4,36.3636363636364
"7070","San Luis Airport",2,0,0
"7071","San Luis County Regional Airport",15,4,26.6666666666667
"7072","San Luis De Palenque Airport",10,1,10
"7073","San Luis Río Colorado Airport",8,3,37.5
"7074","San Luis Valley Regional Bergman Field",16,3,18.75
"7075","San Marcos Airport",10,2,20
"7076","San Matías Airport",7,1,14.2857142857143
"7077","San Miguel Airport",10,4,40
"7078","San Nicolas Airport",6,1,16.6666666666667
"7079","San Nicolas De Bari Airport",7,2,28.5714285714286
"7080","San Pedro Airport",43,15,34.8837209302326
"7081","San Quintín Military Airstrip",8,1,12.5
"7082","San Rafael Airport",10,2,20
"7083","San Ramón Airport",14,6,42.8571428571429
"7084","San Salvador Airport",15,4,26.6666666666667
"7085","San Salvador de Paul Airport",11,3,27.2727272727273
"7086","San Sebastian Airport",8,2,25
"7087","San Tomé Airport",10,4,40
"7088","San Vito De Java Airport",8,1,12.5
"7089","Sana'a International Airport",14,2,14.2857142857143
"7090","Sanandaj Airport",13,2,15.3846153846154
"7091","Sancti Spiritus Airport",10,4,40
"7092","Sand Creek Airport",11,2,18.1818181818182
"7093","Sand Point Airport",9,3,33.3333333333333
"7094","Sandakan Airport",8,2,25
"7095","Sandane Airport (Anda)",13,4,30.7692307692308
"7096","Sanday Airport",10,3,30
"7097","Sandefjord Airport, Torp",7,2,28.5714285714286
"7098","Sanderson Field",14,5,35.7142857142857
"7099","Sandnessjøen Airport (Stokka)",13,4,30.7692307692308
"7100","Sandringham Airport",14,2,14.2857142857143
"7101","Sandspit Airport",11,0,0
"7102","Sandstone Airport",11,4,36.3636363636364
"7103","Sandy Lake Airport",11,5,45.4545454545455
"7104","Sanfebagar Airport",9,1,11.1111111111111
"7105","Sanford Seacoast Regional Airport",12,4,33.3333333333333
"7106","Sanga Sanga Airport",7,4,57.1428571428571
"7107","Sanggata/Sangkimah Airport",11,4,36.3636363636364
"7108","Sangir Airport",7,1,14.2857142857143
"7109","Sangster International Airport",13,4,30.7692307692308
"7110","Sanhe Airport",6,1,16.6666666666667
"7111","Saniat R'mel Airport",12,5,41.6666666666667
"7112","Sanikiluaq Airport",13,3,23.0769230769231
"7113","Santa Ana Airport",35,14,40
"7114","Santa Ana Del Yacuma Airport",16,9,56.25
"7115","Santa Barbara Municipal Airport",10,6,60
"7116","Santa Bernardina International Airport",10,5,50
"7117","Santa Bárbara Airport",12,4,33.3333333333333
"7118","Santa Bárbara de Barinas Airport",10,2,20
"7119","Santa Bárbara del Zulia Airport",14,8,57.1428571428571
"7120","Santa Cruz Air Force Base",8,3,37.5
"7121","Santa Cruz Airport",21,9,42.8571428571429
"7122","Santa Cruz Island Airport",12,4,33.3333333333333
"7123","Santa Cruz Sky Park",16,5,31.25
"7124","Santa Cruz del Quiche Airport",12,5,41.6666666666667
"7125","Santa Cruz do Sul Airport",7,2,28.5714285714286
"7126","Santa Cruz/Graciosa Bay/Luova Airport",14,2,14.2857142857143
"7127","Santa Elena de Uairen Airport",13,2,15.3846153846154
"7128","Santa Fe Municipal Airport",11,6,54.5454545454545
"7129","Santa Genoveva Airport",14,5,35.7142857142857
"7130","Santa Izabel do Morro Airport",6,2,33.3333333333333
"7131","Santa Lucia Air Force Base",12,3,25
"7132","Santa Maria Airport",38,17,44.7368421052632
"7133","Santa Maria Pub/Capt G Allan Hancock Field",10,4,40
"7134","Santa Maria da Vitória Airport",9,3,33.3333333333333
"7135","Santa Monica Municipal Airport",12,4,33.3333333333333
"7136","Santa Paula Airport",15,3,20
"7137","Santa Rosa Airport",28,16,57.1428571428571
"7138","Santa Rosa De Yacuma Airport",12,3,25
"7139","Santa Rosa International Airport",5,1,20
"7140","Santa Rosa de Copán Airport",12,3,25
"7141","Santa Rosalia Airport",12,4,33.3333333333333
"7142","Santa Teresita Airport",10,3,30
"7143","Santa Terezinha Airport",25,8,32
"7144","Santa Vitória do Palmar Airport",6,3,50
"7145","Santa Ynez Airport",11,4,36.3636363636364
"7146","Santana Ramos Airport",11,7,63.6363636363636
"7147","Santana do Araguaia Airport",9,4,44.4444444444444
"7148","Santana do Livramento Airport",16,4,25
"7149","Santander Airport",8,6,75
"7150","Santiago Perez Airport",10,3,30
"7151","Santiago Vila Airport",8,4,50
"7152","Santiago de Compostela Airport",8,3,37.5
"7153","Santo Pekoa International Airport",11,4,36.3636363636364
"7154","Santo Ângelo Airport",7,2,28.5714285714286
"7155","Santorini Airport",12,5,41.6666666666667
"7156","Santos Dumont Airport",18,8,44.4444444444444
"7157","Sanya Phoenix International Airport",11,6,54.5454545454545
"7158","Sapmanga Airport",6,4,66.6666666666667
"7159","Saposoa Airport",11,3,27.2727272727273
"7160","Sara Airport",7,3,42.8571428571429
"7161","Sarajevo International Airport",16,5,31.25
"7162","Sarakhs Airport",10,3,30
"7163","Sarandi Airport",14,7,50
"7164","Saransk Airport",13,5,38.4615384615385
"7165","Sarasota Bradenton International Airport",14,3,21.4285714285714
"7166","Saratov Central Airport",5,0,0
"7167","Saravane Airport",13,3,23.0769230769231
"7168","Sardar Vallabhbhai Patel International Airport",9,3,33.3333333333333
"7169","Sardar-e-Jangal Airport",14,4,28.5714285714286
"7170","Sardeh Band Airport",10,4,40
"7171","Sarh Airport",15,6,40
"7172","Sarmi Airport",16,5,31.25
"7173","Sartaneja Airport",5,1,20
"7174","Sary Su Airport",7,2,28.5714285714286
"7175","Sary-Arka Airport",9,2,22.2222222222222
"7176","Sarzana-Luni Air Base",10,3,30
"7177","Sasereme Airport",11,3,27.2727272727273
"7178","Saskatoon John G. Diefenbaker International Airport",12,3,25
"7179","Saskylakh Airport",9,5,55.5555555555556
"7180","Sassandra Airport",10,6,60
"7181","Sasstown Airport",9,1,11.1111111111111
"7182","Satna Airport",9,4,44.4444444444444
"7183","Satu Mare Airport",9,1,11.1111111111111
"7184","Satwag Airport",15,7,46.6666666666667
"7185","Sauce Viejo Airport",5,1,20
"7186","Sault Ste Marie Airport",10,2,20
"7187","Saumlaki/Olilit Airport",6,1,16.6666666666667
"7188","Sauren Airport",7,4,57.1428571428571
"7189","Saurimo Airport",16,6,37.5
"7190","Sauðárkrókur Airport",12,7,58.3333333333333
"7191","Savannah Hilton Head International Airport",3,0,0
"7192","Savannakhet Airport",8,1,12.5
"7193","Savonlinna Airport",5,3,60
"7194","Savoonga Airport",14,7,50
"7195","Savusavu Airport",7,2,28.5714285714286
"7196","Savuti Airport",7,0,0
"7197","Savé Airport",5,1,20
"7198","Sawan Airport",24,13,54.1666666666667
"7199","Sawyer County Airport",11,2,18.1818181818182
"7200","Sawyer International Airport",8,1,12.5
"7201","Sayaboury Airport",12,3,25
"7202","Sayun International Airport",9,5,55.5555555555556
"7203","Saïss Airport",4,3,75
"7204","Saúl Airport",13,7,53.8461538461538
"7205","Scammon Bay Airport",12,4,33.3333333333333
"7206","Scarlett Martinez International Airport",10,3,30
"7207","Scatsta Airport",8,3,37.5
"7208","Schefferville Airport",12,3,25
"7209","Schenck Field",10,5,50
"7210","Schenectady County Airport",10,3,30
"7211","Schleswig Air Base",4,1,25
"7212","Scholes International At Galveston Airport",11,5,45.4545454545455
"7213","Schoolcraft County Airport",16,7,43.75
"7214","Schwerin Parchim Airport",10,3,30
"7215","Schönhagen Airport",11,3,27.2727272727273
"7216","Scone Airport",16,7,43.75
"7217","Scott AFB/Midamerica Airport",9,3,33.3333333333333
"7218","Scottsdale Airport",12,3,25
"7219","Scranton Municipal Airport.",9,0,0
"7220","Scribner State Airport",9,5,55.5555555555556
"7221","Scusciuban Airport",13,5,38.4615384615385
"7222","Sde Dov Airport",12,4,33.3333333333333
"7223","Seal Bay Seaplane Base",11,5,45.4545454545455
"7224","Searle Field",8,2,25
"7225","Seattle Tacoma International Airport",14,4,28.5714285714286
"7226","Sebba Airport",10,3,30
"7227","Sebring Regional Airport",10,3,30
"7228","Sechelt-Gibsons Airport",16,8,50
"7229","Secunda Airport",5,2,40
"7230","Sedalia Memorial Airport",10,4,40
"7231","Sedona Airport",13,3,23.0769230769231
"7232","Sege Airport",8,1,12.5
"7233","Seguela Airport",8,2,25
"7234","Sehonghong Airport",9,3,33.3333333333333
"7235","Sehulea Airport",7,3,42.8571428571429
"7236","Sehwan Sharif Airport",11,3,27.2727272727273
"7237","Sei Bati Airport",7,3,42.8571428571429
"7238","Seinäjoki Airport",8,3,37.5
"7239","Sekakes Airport",7,4,57.1428571428571
"7240","Selaparang Airport",9,1,11.1111111111111
"7241","Selawik Airport",9,5,55.5555555555556
"7242","Selbang Airport",15,6,40
"7243","Seldovia Airport",10,4,40
"7244","Selebi Phikwe Airport",12,4,33.3333333333333
"7245","Seletar Airport",12,6,50
"7246","Selfridge Air National Guard Base Airport",11,0,0
"7247","Selfs Airport",8,2,25
"7248","Sematan Airport",7,3,42.8571428571429
"7249","Sembach Air Base",10,1,10
"7250","Semera Airport",17,7,41.1764705882353
"7251","Semipalatinsk Airport",9,5,55.5555555555556
"7252","Semnan Municipal Airport",10,4,40
"7253","Semonkong Airport",15,7,46.6666666666667
"7254","Semporna Airport",7,2,28.5714285714286
"7255","Sena Madureira Airport",14,7,50
"7256","Senador Nilo Coelho Airport",8,4,50
"7257","Senador Petrônio Portela Airport",6,3,50
"7258","Senadora Eunice Micheles Airport",12,3,25
"7259","Senai International Airport",14,4,28.5714285714286
"7260","Senanga Airport",17,9,52.9411764705882
"7261","Sendai Airport",16,3,18.75
"7262","Sengapi Airstrip",9,4,44.4444444444444
"7263","Senggeh Airport",9,3,33.3333333333333
"7264","Senggo Airport",15,9,60
"7265","Senipah Heliport",13,5,38.4615384615385
"7266","Sentani International Airport",7,2,28.5714285714286
"7267","Seosan Air Base",20,11,55
"7268","Seoul Air Base (K-16)",9,4,44.4444444444444
"7269","Sepik Plains Airport",9,4,44.4444444444444
"7270","Sept-Îles Airport",4,3,75
"7271","Sepulot Airport",17,7,41.1764705882353
"7272","Sequim Valley Airport",9,4,44.4444444444444
"7273","Serafin Enoss Bertaso Airport",7,2,28.5714285714286
"7274","Seronera Airport",10,2,20
"7275","Sertanópolis Airport",19,7,36.8421052631579
"7276","Serui Airport",8,1,12.5
"7277","Sesheke Airport",10,6,60
"7278","Seshutes Airport",10,2,20
"7279","Sette Cama Airport",7,1,14.2857142857143
"7280","Seunagan Airport",14,6,42.8571428571429
"7281","Sevilla Airport",17,5,29.4117647058824
"7282","Seward Airport",10,3,30
"7283","Seychelles International Airport",14,6,42.8571428571429
"7284","Seymour Airport",17,5,29.4117647058824
"7285","Seymour Johnson Air Force Base",9,3,33.3333333333333
"7286","Sfax Thyna International Airport",13,5,38.4615384615385
"7287","Shafter Airport - Minter Field",13,8,61.5384615384615
"7288","Shageluk Airport",12,2,16.6666666666667
"7289","Shah Amanat International Airport",14,3,21.4285714285714
"7290","Shah Mokhdum Airport",22,5,22.7272727272727
"7291","Shahbaz Air Base",10,2,20
"7292","Shaheed Benazirabad Airport",4,1,25
"7293","Shahid Ashrafi Esfahani Airport",9,6,66.6666666666667
"7294","Shahid Sadooghi Airport",9,5,55.5555555555556
"7295","Shahrekord Airport",8,1,12.5
"7296","Shahroud Airport",15,6,40
"7297","Shaikh Zaid Airport",13,6,46.1538461538462
"7298","Shakawe Airport",12,5,41.6666666666667
"7299","Shakhtyorsk Airport",13,7,53.8461538461538
"7300","Shakiso Airport",4,0,0
"7301","Shaktoolik Airport",6,3,50
"7302","Shalz Field",4,1,25
"7303","Shamattawa Airport",8,2,25
"7304","Shamshernagar Airport",12,6,50
"7305","Shanghai Hongqiao International Airport",14,3,21.4285714285714
"7306","Shanghai Pudong International Airport",8,0,0
"7307","Shangjie Airport",12,5,41.6666666666667
"7308","Shangrao Sanqingshan Airport",8,2,25
"7309","Shank Air Base",13,2,15.3846153846154
"7310","Shannon Airport",6,3,50
"7311","Shanshan Airport",13,5,38.4615384615385
"7312","Shaoguan Guitou Airport",13,4,30.7692307692308
"7313","Shaoyang Wugang Airport",9,5,55.5555555555556
"7314","Sharana Airstrip",16,5,31.25
"7315","Sharjah International Airport",14,3,21.4285714285714
"7316","Shark Bay Airport",15,7,46.6666666666667
"7317","Shark El Oweinat International Airport",14,8,57.1428571428571
"7318","Sharm El Sheikh International Airport",13,2,15.3846153846154
"7319","Sharp County Regional Airport",8,5,62.5
"7320","Sharpe AAF",6,3,50
"7321","Sharpe Field",9,2,22.2222222222222
"7322","Sharurah Airport",11,4,36.3636363636364
"7323","Shashi Airport",8,2,25
"7324","Shaw Air Force Base",7,4,57.1428571428571
"7325","Shaw River Airport",14,6,42.8571428571429
"7326","Shawnee Regional Airport",12,4,33.3333333333333
"7327","Shaxian Airport",13,2,15.3846153846154
"7328","Shay Gap Airport",7,3,42.8571428571429
"7329","Sheboygan County Memorial Airport",12,3,25
"7330","Sheep Mountain Airport",12,6,50
"7331","Sheghnan Airport",6,2,33.3333333333333
"7332","Sheikh ul Alam Airport",7,4,57.1428571428571
"7333","Shelby Airport",5,0,0
"7334","Shenandoah Valley Regional Airport",8,2,25
"7335","Shennongjia Hongping Airport",15,6,40
"7336","Shenzhen Bao'an International Airport",14,2,14.2857142857143
"7337","Sheppard Air Force Base-Wichita Falls Municipal Airport",19,8,42.1052631578947
"7338","Shepparton Airport",13,5,38.4615384615385
"7339","Sher-Wood Airport",17,1,5.88235294117647
"7340","Sherbro International Airport",9,5,55.5555555555556
"7341","Sherbrooke Airport",12,4,33.3333333333333
"7342","Sheremetyevo International Airport",12,2,16.6666666666667
"7343","Sheridan County Airport",12,6,50
"7344","Sherman Army Air Field",16,6,37.5
"7345","Shigatse Air Base",8,3,37.5
"7346","Shijiazhuang Daguocun International Airport",18,9,50
"7347","Shikarpur Airport",10,4,40
"7348","Shilavo Airport",7,4,57.1428571428571
"7349","Shillong Airport",13,6,46.1538461538462
"7350","Shimla Airport",10,5,50
"7351","Shimojishima Airport",14,4,28.5714285714286
"7352","Shindand Airport",12,1,8.33333333333333
"7353","Shinyanga Airport",10,7,70
"7354","Shiraz Shahid Dastghaib International Airport",11,3,27.2727272727273
"7355","Shirdi Airport",9,1,11.1111111111111
"7356","Shire Inda Selassie Airport",12,3,25
"7357","Shiringayoc Airport",12,4,33.3333333333333
"7358","Shishmaref Airport",11,5,45.4545454545455
"7359","Shively Field",8,4,50
"7360","Shiyan Wudangshan Airport",9,2,22.2222222222222
"7361","Shonai Airport",12,4,33.3333333333333
"7362","Shoreham Airport",6,2,33.3333333333333
"7363","Show Low Regional Airport",7,4,57.1428571428571
"7364","Shreveport Downtown Airport",8,2,25
"7365","Shreveport Regional Airport",9,2,22.2222222222222
"7366","Shubuling Airport",6,0,0
"7367","Shumba Airport",11,4,36.3636363636364
"7368","Shun Tak Heliport",12,4,33.3333333333333
"7369","Shungnak Airport",8,4,50
"7370","Shuswap Regional Airport",14,6,42.8571428571429
"7371","Shute Harbour Airport",10,1,10
"7372","Shymkent Airport",12,5,41.6666666666667
"7373","Sialkot Airport",15,7,46.6666666666667
"7374","Sialum Airport",7,2,28.5714285714286
"7375","Siargao Airport",7,4,57.1428571428571
"7376","Siasi Airport",16,7,43.75
"7377","Siassi Airport",6,3,50
"7378","Sibi Airport",13,4,30.7692307692308
"7379","Sibisa Airport",14,2,14.2857142857143
"7380","Sibiti Airport",13,7,53.8461538461538
"7381","Sibiu International Airport",14,3,21.4285714285714
"7382","Sibu Airport",7,1,14.2857142857143
"7383","Sibulan Airport",7,1,14.2857142857143
"7384","Sicogon Airstrip",9,2,22.2222222222222
"7385","Sidi Barrani Airport",11,6,54.5454545454545
"7386","Sidi Bel Abbes Airport",6,1,16.6666666666667
"7387","Sidi Ifni Xx Airport",8,1,12.5
"7388","Sidney - Richland Regional Airport",18,4,22.2222222222222
"7389","Sidney Municipal Airport",10,1,10
"7390","Sidney Municipal-Lloyd W Carr Field",6,1,16.6666666666667
"7391","Siegerland Airport",11,3,27.2727272727273
"7392","Siem Reap International Airport",12,5,41.6666666666667
"7393","Siena-Ampugnano Airport",11,6,54.5454545454545
"7394","Sierra Blanca Regional Airport",12,2,16.6666666666667
"7395","Sierra Grande Airport",15,4,26.6666666666667
"7396","Sierra Maestra Airport",13,5,38.4615384615385
"7397","Sierra Vista Municipal Libby Army Air Field",13,8,61.5384615384615
"7398","Sievierodonetsk Airport",14,3,21.4285714285714
"7399","Sigiriya Air Force Base",8,2,25
"7400","Siglufjörður Airport",11,3,27.2727272727273
"7401","Sigonella Navy Air Base",12,3,25
"7402","Siguanea Airport",7,2,28.5714285714286
"7403","Siguiri Airport",11,3,27.2727272727273
"7404","Sihanoukville International Airport",8,2,25
"7405","Siirt Airport",10,4,40
"7406","Sikasso Airport",9,1,11.1111111111111
"7407","Sikeston Memorial Municipal Airport",6,4,66.6666666666667
"7408","Sila Airport",15,6,40
"7409","Silangit Airport",11,3,27.2727272727273
"7410","Silchar Airport",9,5,55.5555555555556
"7411","Silgadi Doti Airport",9,4,44.4444444444444
"7412","Silistra Polkovnik Lambrinovo Air Base",12,3,25
"7413","Silur Airport",13,4,30.7692307692308
"7414","Silva Bay Seaplane Base",13,4,30.7692307692308
"7415","Silver Creek Airport",17,6,35.2941176470588
"7416","Silver Plains Airport",13,5,38.4615384615385
"7417","Silvio Pettirossi International Airport",8,2,25
"7418","Sim Airport",9,4,44.4444444444444
"7419","Simanggang Airport",13,3,23.0769230769231
"7420","Simara Airport",13,4,30.7692307692308
"7421","Simbai Airport",9,6,66.6666666666667
"7422","Simberi Airport",7,2,28.5714285714286
"7423","Simenti Airport",10,3,30
"7424","Simferopol International Airport",15,7,46.6666666666667
"7425","Simikot Airport",10,5,50
"7426","Simmons Army Air Field",16,3,18.75
"7427","Simon Mwansa Kapwepwe International Airport",11,3,27.2727272727273
"7428","Simón Bolívar International Airport",21,9,42.8571428571429
"7429","Sinak Airport",6,2,33.3333333333333
"7430","Sindal Airport",17,4,23.5294117647059
"7431","Sindhri Tharparkar Airport",10,3,30
"7432","Sines Airport",9,3,33.3333333333333
"7433","Singapore Changi Airport",8,1,12.5
"7434","Singita Safari Lodge Airport",10,4,40
"7435","Singleton Airport",6,2,33.3333333333333
"7436","Sinop Airport",10,4,40
"7437","Sintang(Susilo) Airport",10,2,20
"7438","Siocon Airport",16,4,25
"7439","Sion Airport",7,2,28.5714285714286
"7440","Sioux Gateway Col. Bud Day Field",8,5,62.5
"7441","Sioux Lookout Airport",9,6,66.6666666666667
"7442","Sipitang Airport",10,6,60
"7443","Sir Abubakar Tafawa Balewa International Airport",17,6,35.2941176470588
"7444","Sir Bani Yas Airport",7,2,28.5714285714286
"7445","Sir Charles Gaetan Duval Airport",11,3,27.2727272727273
"7446","Sir Grantley Adams International Airport",13,3,23.0769230769231
"7447","Sir Seewoosagur Ramgoolam International Airport",13,5,38.4615384615385
"7448","Sir Seretse Khama International Airport",12,2,16.6666666666667
"7449","Sirjan Airport",15,2,13.3333333333333
"7450","Sirri Island Airport",11,5,45.4545454545455
"7451","Sishen Airport",10,3,30
"7452","Sisimiut Airport",10,0,0
"7453","Sissano Airport",20,4,20
"7454","Sitia Airport",9,3,33.3333333333333
"7455","Sitiawan Airport",9,1,11.1111111111111
"7456","Sitka Rocky Gutierrez Airport",12,6,50
"7457","Sitkinak Airport",13,4,30.7692307692308
"7458","Sittwe Airport",12,3,25
"7459","Siuna",14,6,42.8571428571429
"7460","Sivas Nuri Demirağ Airport",11,0,0
"7461","Siwa Oasis North Airport",13,4,30.7692307692308
"7462","Siwea Airport",10,4,40
"7463","Siwo Airport",19,6,31.5789473684211
"7464","Skagit Regional Airport",9,1,11.1111111111111
"7465","Skagway Airport",13,7,53.8461538461538
"7466","Skardu Airport",15,4,26.6666666666667
"7467","Skeldon Airport",7,3,42.8571428571429
"7468","Skellefteå Airport",4,0,0
"7469","Skiathos Island National Airport",8,3,37.5
"7470","Skien Airport",4,2,50
"7471","Skikda Airport",6,1,16.6666666666667
"7472","Skiros Airport",12,5,41.6666666666667
"7473","Skive Airport",8,3,37.5
"7474","Skopje Alexander the Great Airport",19,8,42.1052631578947
"7475","Skrydstrup Air Base",3,1,33.3333333333333
"7476","Skukuza Airport",9,1,11.1111111111111
"7477","Skwentna Airport",10,1,10
"7478","Sky Harbor Airport",11,3,27.2727272727273
"7479","Skylark Field",9,1,11.1111111111111
"7480","Skypark Airport",21,6,28.5714285714286
"7481","Skövde Airport",15,5,33.3333333333333
